region,census_code,총인구,총종사자수
분당(판교),31021510010001,415.0,5.0
분당(판교),31021510010002,433.0,52.0
분당(판교),31021510010003,416.0,12.0
분당(판교),31021510010004,465.0,13.0
분당(판교),31021510010005,453.0,11.0
분당(판교),31021510010006,399.0,6.0
분당(판교),31021510010007,434.0,27.0
분당(판교),31021510010008,416.0,23.0
분당(판교),31021510010009,427.0,112.0
분당(판교),31021510010010,416.0,1283.0
분당(판교),31021510010011,498.0,17.0
분당(판교),31021510010012,475.0,79.0
분당(판교),31021510010013,493.0,15.0
분당(판교),31021510010014,443.0,38.0
분당(판교),31021510010015,466.0,30.0
분당(판교),31021510010016,521.0,53.0
분당(판교),31021510010017,418.0,19.0
분당(판교),31021510010018,403.0,34.0
분당(판교),31021510010019,457.0,36.0
분당(판교),31021510010020,513.0,16.0
분당(판교),31021510010021,444.0,26.0
분당(판교),31021510010022,402.0,9.0
분당(판교),31021510010023,405.0,247.0
분당(판교),31021510010024,465.0,646.0
분당(판교),31021510010025,419.0,57.0
분당(판교),31021510010026,540.0,27.0
분당(판교),31021510010027,473.0,317.0
분당(판교),31021510010028,433.0,504.0
분당(판교),31021510010029,453.0,422.0
분당(판교),31021510010101,359.0,20.0
분당(판교),31021520010001,618.0,862.0
분당(판교),31021520010002,503.0,138.0
분당(판교),31021520010003,620.0,121.0
분당(판교),31021520010101,444.0,15.0
분당(판교),31021520010102,609.0,20.0
분당(판교),31021520010103,575.0,10.0
분당(판교),31021520010104,396.0,8.0
분당(판교),31021520010105,422.0,97.0
분당(판교),31021520010106,594.0,17.0
분당(판교),31021520010107,393.0,8.0
분당(판교),31021520010108,537.0,11.0
분당(판교),31021520010109,509.0,5.0
분당(판교),31021520010110,391.0,4.0
분당(판교),31021520010111,398.0,6.0
분당(판교),31021520010112,396.0,9.0
분당(판교),31021520010113,591.0,17.0
분당(판교),31021520010114,593.0,23.0
분당(판교),31021520010115,463.0,8.0
분당(판교),31021520010116,618.0,11.0
분당(판교),31021520010117,562.0,7.0
분당(판교),31021520010118,568.0,35.0
분당(판교),31021520010119,542.0,169.0
분당(판교),31021520010120,406.0,35.0
분당(판교),31021520010121,383.0,5.0
분당(판교),31021520010301,344.0,28.0
분당(판교),31021520020001,390.0,193.0
분당(판교),31021520020002,165.0,996.0
분당(판교),31021520020101,482.0,2.0
분당(판교),31021520020102,458.0,6.0
분당(판교),31021520020103,403.0,3.0
분당(판교),31021520020104,468.0,4.0
분당(판교),31021520020105,512.0,1.0
분당(판교),31021520020106,636.0,2.0
분당(판교),31021520020107,330.0,3.0
분당(판교),31021520020201,477.0,2.0
분당(판교),31021520020202,526.0,4.0
분당(판교),31021520020203,493.0,3.0
분당(판교),31021520020204,517.0,13.0
분당(판교),31021520020205,517.0,0.0
분당(판교),31021520020206,387.0,0.0
분당(판교),31021520020207,472.0,1.0
분당(판교),31021520020208,446.0,0.0
분당(판교),31021520020209,475.0,2.0
분당(판교),31021520020210,559.0,2.0
분당(판교),31021520020301,405.0,5.0
분당(판교),31021520020302,464.0,1.0
분당(판교),31021520020303,360.0,3.0
분당(판교),31021520020304,414.0,1.0
분당(판교),31021520020305,358.0,1.0
분당(판교),31021520020401,503.0,0.0
분당(판교),31021520020402,507.0,5.0
분당(판교),31021520020403,515.0,2.0
분당(판교),31021520020601,580.0,12.0
분당(판교),31021520020602,421.0,15.0
분당(판교),31021520020603,467.0,56.0
분당(판교),31021520020801,633.0,94.0
분당(판교),31021520020901,303.0,155.0
분당(판교),31021520020902,547.0,91.0
분당(판교),31021520021001,758.0,55.0
분당(판교),31021520021002,559.0,20.0
분당(판교),31021520021101,503.0,14.0
분당(판교),31021520021102,494.0,84.0
분당(판교),31021520021103,538.0,17.0
분당(판교),31021530010001,424.0,38.0
분당(판교),31021530010002,578.0,138.0
분당(판교),31021530010003,538.0,306.0
분당(판교),31021530010004,462.0,1040.0
분당(판교),31021530010005,423.0,401.0
분당(판교),31021530010006,452.0,10.0
분당(판교),31021530010007,514.0,115.0
분당(판교),31021530010008,545.0,20.0
분당(판교),31021530010009,558.0,57.0
분당(판교),31021530010010,432.0,36.0
분당(판교),31021530010011,543.0,26.0
분당(판교),31021530010012,528.0,64.0
분당(판교),31021530010013,426.0,9.0
분당(판교),31021530010014,519.0,20.0
분당(판교),31021530010015,434.0,26.0
분당(판교),31021530010016,439.0,31.0
분당(판교),31021530010017,417.0,33.0
분당(판교),31021530010018,438.0,24.0
분당(판교),31021530010019,596.0,100.0
분당(판교),31021530010020,489.0,1497.0
분당(판교),31021530010021,423.0,47.0
분당(판교),31021530010022,526.0,204.0
분당(판교),31021530010101,385.0,138.0
분당(판교),31021540010001,514.0,23.0
분당(판교),31021540010002,442.0,12.0
분당(판교),31021540010003,399.0,8.0
분당(판교),31021540010004,456.0,20.0
분당(판교),31021540010005,455.0,7.0
분당(판교),31021540010006,421.0,387.0
분당(판교),31021540010007,422.0,41.0
분당(판교),31021540010008,485.0,100.0
분당(판교),31021540010009,498.0,47.0
분당(판교),31021540010010,417.0,60.0
분당(판교),31021540010011,387.0,20.0
분당(판교),31021540010012,432.0,260.0
분당(판교),31021540010013,670.0,1021.0
분당(판교),31021540010014,485.0,51.0
분당(판교),31021540010015,415.0,190.0
분당(판교),31021540010016,549.0,202.0
분당(판교),31021540010017,396.0,173.0
분당(판교),31021540010018,409.0,176.0
분당(판교),31021540010019,481.0,17.0
분당(판교),31021540010020,410.0,16.0
분당(판교),31021540010021,410.0,14.0
분당(판교),31021540010022,393.0,24.0
분당(판교),31021540010401,492.0,16.0
분당(판교),31021540010601,324.0,302.0
분당(판교),31021540020001,534.0,23.0
분당(판교),31021540020002,452.0,459.0
